Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,FabricType,Decoration,PatternType,Recommendation,RatingCategory,PriceLevel,IsRecommended,Price_num
sexy,low,4.6,m,summer,o-neck,sleeveless,empire,cotton,chiffon,ruffles,animal,2,Excellent,1,Not Recommended,1
casual,low,4.7,l,summer,o-neck,petal,natural,microfiber,chiffon,ruffles,animal,1,Excellent,1,Recommended,1
vintage,high,4.7,l,autumn,o-neck,full,natural,polyester,chiffon,lace,print,1,Excellent,4,Recommended,4
brief,average,4.6,l,spring,o-neck,full,natural,silk,chiffon,embroidary,print,2,Excellent,2,Not Recommended,3
cute,low,4.5,m,summer,o-neck,butterfly,natural,chiffon,chiffon,bow,dot,1,Very Good,1,Recommended,1
bohemian,low,4.7,m,summer,v-neck,sleeveless,empire,cotton,chiffon,lace,print,1,Excellent,1,Recommended,1
casual,average,4.7,xl,summer,o-neck,full,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
novelty,average,4.7,free,autumn,o-neck,short,natural,polyester,broadcloth,lace,solid,1,Excellent,2,Recommended,3
flare,average,4.7,free,spring,v-neck,short,empire,cotton,broadcloth,beading,solid,2,Excellent,2,Not Recommended,3
bohemian,low,4.7,free,summer,v-neck,sleeveless,natural,nylon,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
party,average,5.0,free,summer,o-neck,full,natural,polyester,broadcloth,lace,solid,1,Excellent,2,Recommended,3
flare,average,4.7,free,spring,v-neck,short,natural,nylon,chiffon,lace,animal,1,Excellent,2,Recommended,3
sexy,low,4.7,m,winter,o-neck,threequarter,natural,cotton,chiffon,lace,print,2,Excellent,1,Not Recommended,1
vintage,average,4.8,m,summer,o-neck,short,empire,cotton,jersey,lace,animal,2,Excellent,2,Not Recommended,3
casual,low,5.0,m,summer,boat-neck,short,natural,cotton,chiffon,sashes,solid,1,Excellent,1,Recommended,1
casual,low,4.7,free,winter,boat-neck,full,natural,other,other,lace,solid,1,Excellent,1,Recommended,1
cute,average,4.7,l,spring,o-neck,short,natural,cotton,chiffon,sashes,solid,2,Excellent,2,Not Recommended,3
bohemian,medium,5.0,free,autumn,o-neck,full,natural,cotton,chiffon,hollowout,patchwork,2,Excellent,3,Not Recommended,2
brief,average,4.7,m,winter,peterpan-collor,threequarter,natural,cotton,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
sexy,average,5.0,m,autumn,o-neck,sleeveless,empire,milksilk,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
sexy,average,4.5,l,autumn,o-neck,full,natural,cotton,chiffon,beading,solid,1,Very Good,2,Recommended,3
casual,low,4.3,m,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Very Good,1,Recommended,1
brief,low,4.0,xl,summer,v-neck,short,natural,cotton,chiffon,pockets,solid,1,Good,1,Recommended,1
sexy,average,4.7,s,summer,v-neck,sleeveless,empire,cotton,chiffon,sequined,solid,2,Excellent,2,Not Recommended,3
